Laikotarpis,Rodiklis,Kelių naudotojai,Nukentėjusysis,Nukentėjusiųjų tipas,Matavimo vienetai,Reikšmė
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,374
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,403
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,388
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,15
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,11
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Dviračių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,5
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,60
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,61
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,62
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,1
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,1
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Mopedų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,1
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,186
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,234
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,199
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,17
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,10
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Motociklų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,13
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Lengvųjų automobilių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,3
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Lengvųjų automobilių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,1
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Lengvųjų automobilių vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,1
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Lengvųjų automobilių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Lengvųjų automobilių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Lengvųjų automobilių vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,1
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,3
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,4
2022,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Vairuotojai,Sužeistieji,kelių naudotojai,8
2020,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,
2021,Kelių eismo įvykiuose sužeistųjų ir žuvusiųjų skaičius,Autobusų ir troleibusų vairuotojai ir keleiviai,Vairuotojai,Žuvusieji,kelių naudotojai,
