"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Kaimas","asmenys","16221"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Miestas","asmenys","73132"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Kaimas","asmenys","52874"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Miestas","asmenys","9450"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Kaimas","asmenys","13118"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Miestas","asmenys","5585"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Kaimas","asmenys","8463"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Miestas","asmenys","5712"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Kaimas","asmenys","10998"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Miestas","asmenys","26537"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Kaimas","asmenys","11883"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Miestas","asmenys","19478"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Kaimas","asmenys","213"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Miestas","asmenys","6370"
"2023","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Kaimas","asmenys","8199"
